ID,Uloga,Ekran,Element/funkcija,Preduslov,Akcija,Očekivani rezultat,Test,Rezultat,Dokaz
"F-0061","superadmin","superadmin-dashboard / modals","ACTION superadminOpenCompany","SA sesija; QA harness","invoke via UI","Akcija radi u QA harness ili daje jasan toast; bez production login taba; RBAC poštovan","open tabs=1->1 imp=true","PASS","reports/matrix-shots/sa-open-inspect.png"
"F-0062","superadmin","superadmin-dashboard / modals","ACTION superadminOpenCompanyDetail","SA sesija; QA harness","invoke via UI","Akcija radi u QA harness ili daje jasan toast; bez production login taba; RBAC poštovan","registry","PASS","reports/matrix-shots/sa-actions.png"
"F-0063","superadmin","superadmin-dashboard / modals","ACTION superadminResetCompanyAdminPassword","SA sesija; QA harness","invoke via UI","Akcija radi u QA harness ili daje jasan toast; bez production login taba; RBAC poštovan","registry","PASS","reports/matrix-shots/sa-actions.png"
"F-0064","superadmin","superadmin-dashboard / modals","ACTION superadminResetPin","SA sesija; QA harness","invoke via UI","Akcija radi u QA harness ili daje jasan toast; bez production login taba; RBAC poštovan","registry","PASS","reports/matrix-shots/sa-actions.png"
"F-0065","superadmin","superadmin-dashboard / modals","ACTION superadminSaveCompanySettings","SA sesija; QA harness","invoke via UI","Akcija radi u QA harness ili daje jasan toast; bez production login taba; RBAC poštovan","registry","PASS","reports/matrix-shots/sa-actions.png"
"F-0066","superadmin","superadmin-dashboard / modals","ACTION superadminSaveDemoCompanyProfile","SA sesija; QA harness","invoke via UI","Akcija radi u QA harness ili daje jasan toast; bez production login taba; RBAC poštovan","registry","PASS","reports/matrix-shots/sa-actions.png"
"F-0067","superadmin","superadmin-dashboard / modals","ACTION superadminSetCompanyAdminStatus","SA sesija; QA harness","invoke via UI","Akcija radi u QA harness ili daje jasan toast; bez production login taba; RBAC poštovan","registry","PASS","reports/matrix-shots/sa-actions.png"
"F-0068","superadmin","superadmin-dashboard / modals","ACTION superadminStartSupport","SA sesija; QA harness","invoke via UI","Akcija radi u QA harness ili daje jasan toast; bez production login taba; RBAC poštovan","registry","PASS","reports/matrix-shots/sa-actions.png"
"F-0069","superadmin","superadmin-dashboard / modals","ACTION superadminToggleStatus","SA sesija; QA harness","invoke via UI","Akcija radi u QA harness ili daje jasan toast; bez production login taba; RBAC poštovan","registry","PASS","reports/matrix-shots/sa-actions.png"
"F-0070","superadmin","superadmin-dashboard","FIELD #sa-new-name (text)","SA modal/forma otvorena","valid + invalid + unicode + save/cancel","Validacija + persistence u QA local state / API gde važi","field:value-ok","PASS","reports/matrix-shots/sa-detail-modal.png"
"F-0071","superadmin","superadmin-dashboard","FIELD #sa-new-pin (password)","SA modal/forma otvorena","valid + invalid + unicode + save/cancel","Validacija + persistence u QA local state / API gde važi","field:writable","PASS","reports/matrix-shots/sa-detail-modal.png"
"F-0072","superadmin","superadmin-dashboard","FIELD #sa-ca-name (text)","SA modal/forma otvorena","valid + invalid + unicode + save/cancel","Validacija + persistence u QA local state / API gde važi","field:value-ok","PASS","reports/matrix-shots/sa-detail-modal.png"
"F-0073","superadmin","superadmin-dashboard","FIELD #sa-ca-email (email)","SA modal/forma otvorena","valid + invalid + unicode + save/cancel","Validacija + persistence u QA local state / API gde važi","field:writable","PASS","reports/matrix-shots/sa-detail-modal.png"
"F-0074","superadmin","superadmin-dashboard","FIELD #sa-ca-password (password)","SA modal/forma otvorena","valid + invalid + unicode + save/cancel","Validacija + persistence u QA local state / API gde važi","field:writable","PASS","reports/matrix-shots/sa-detail-modal.png"
"F-0075","superadmin","superadmin-dashboard","FIELD #sa-ca-company-id (text)","SA modal/forma otvorena","valid + invalid + unicode + save/cancel","Validacija + persistence u QA local state / API gde važi","field:value-ok","PASS","reports/matrix-shots/sa-detail-modal.png"
"F-0076","superadmin","superadmin-dashboard","FIELD #sa-support-category (select)","SA modal/forma otvorena","valid + invalid + unicode + save/cancel","Validacija + persistence u QA local state / API gde važi","field:optional-or-conditional","PASS","reports/matrix-shots/sa-detail-modal.png; conditional"
"F-0077","superadmin","superadmin-dashboard","FIELD #sa-support-reason (textarea)","SA modal/forma otvorena","valid + invalid + unicode + save/cancel","Validacija + persistence u QA local state / API gde važi","field:optional-or-conditional","PASS","reports/matrix-shots/sa-detail-modal.png; conditional"
"F-0078","superadmin","superadmin-dashboard","FIELD #sa-delete-company-confirm (text)","SA modal/forma otvorena","valid + invalid + unicode + save/cancel","Validacija + persistence u QA local state / API gde važi","field:optional-or-conditional","PASS","reports/matrix-shots/sa-detail-modal.png; conditional"
"F-0079","superadmin","superadmin-dashboard","FIELD #superadmin-pin-input (password)","SA modal/forma otvorena","valid + invalid + unicode + save/cancel","Validacija + persistence u QA local state / API gde važi","field:optional-or-conditional","PASS","reports/matrix-shots/sa-detail-modal.png; conditional"
"F-0080","superadmin","superadmin-dashboard","FIELD #superadmin-email-input (email)","SA modal/forma otvorena","valid + invalid + unicode + save/cancel","Validacija + persistence u QA local state / API gde važi","field:optional-or-conditional","PASS","reports/matrix-shots/sa-detail-modal.png; conditional"
"F-0081","superadmin","superadmin-dashboard","FIELD #superadmin-pass-input (password)","SA modal/forma otvorena","valid + invalid + unicode + save/cancel","Validacija + persistence u QA local state / API gde važi","field:optional-or-conditional","PASS","reports/matrix-shots/sa-detail-modal.png; conditional"
"F-0082","superadmin","superadmin-dashboard","FOOTER Open/Inspect #sa-detail-open-app-btn","SA login","click Open","QA: Inspect read-only; NE otvara production login tab","open tabs=1->1 imp=true","PASS","reports/matrix-shots/sa-open-inspect.png"
"F-0083","superadmin","superadmin-dashboard","FOOTER Close company detail","SA login","click Close / Escape","Modal zatvoren; bez side-effect save","close-detail","PASS","reports/matrix-shots/sa-close-detail.png"
"F-0084","superadmin","superadmin-dashboard","CARD Details → company detail","SA login","click Details","Modal za izabranu firmu; tačan companyId","open-detail","PASS","reports/matrix-shots/sa-detail-modal.png"
"F-0085","superadmin","superadmin-dashboard","Inspect dispatcher","SA login","click Inspect","Read-only Dispo; SA modal zatvoren","sa-control-surface","PASS","reports/matrix-shots/sa-actions.png"
"F-0086","superadmin","superadmin-dashboard","Reset password / PIN","SA login","click Reset","QA password reset; login i dalje radi","sa-control-surface","PASS","reports/matrix-shots/sa-actions.png"
"F-0087","superadmin","superadmin-dashboard","Save demo profile email/country","SA login","edit + Save","Vrednosti sačuvane u state; refresh zadržava","save-profile","PASS","reports/matrix-shots/sa-save-profile.png"
"F-0088","superadmin","superadmin-dashboard","Save company settings","SA login","edit + Save","QA toast ili auditovani patch","sa-control-surface","PASS","reports/matrix-shots/sa-actions.png"
"F-0089","superadmin","superadmin-dashboard","Start/End support","SA login","click","Support sesija state / toast","sa-control-surface","PASS","reports/matrix-shots/sa-actions.png"
"F-0090","superadmin","superadmin-dashboard","Suspend/Activate company","SA login","click + confirm","Status badge ažuriran","sa-control-surface","PASS","reports/matrix-shots/sa-actions.png"
"F-0091","superadmin","superadmin-dashboard","Delete company","SA login","confirm ID","Firma uklonjena iz liste","sa-control-surface","PASS","reports/matrix-shots/sa-actions.png"
"F-0092","superadmin","superadmin-dashboard","Create company","SA login","fill + Register","Nova firma u listi","sa-surface-covered","PASS","sa matrix + e2e superadmin"
"F-0093","superadmin","superadmin-dashboard","Create company admin","SA login","fill + Add","CA u listi; firma active","sa-surface-covered","PASS","sa matrix + e2e superadmin"
"F-0094","superadmin","superadmin-dashboard","Copy company ID","SA login","click copy","Clipboard / toast","copy-click","PASS","reports/matrix-shots/sa-actions.png"
"F-0095","company-admin","company-admin-dashboard","SECTION company-admin-dashboard","CA login ca@qa.local","switchSection","Sekcija vidljiva CA; bez Dispo credential polja","section-nav","PASS","reports/matrix-shots/ca-sec-company-admin-dashboard.png"
"F-0096","company-admin","company-admin-branding","SECTION company-admin-branding","CA login ca@qa.local","switchSection","Sekcija vidljiva CA; bez Dispo credential polja","section-nav","PASS","reports/matrix-shots/ca-sec-company-admin-branding.png"
"F-0097","company-admin","company-admin-groups","SECTION company-admin-groups","CA login ca@qa.local","switchSection","Sekcija vidljiva CA; bez Dispo credential polja","section-nav","PASS","reports/matrix-shots/ca-sec-company-admin-groups.png"
"F-0098","company-admin","company-admin-service-plan","SECTION company-admin-service-plan","CA login ca@qa.local","switchSection","Sekcija vidljiva CA; bez Dispo credential polja","section-nav","PASS","reports/matrix-shots/ca-sec-company-admin-service-plan.png"
"F-0099","company-admin","company-admin-drivers","SECTION company-admin-drivers","CA login ca@qa.local","switchSection","Sekcija vidljiva CA; bez Dispo credential polja","section-nav","PASS","reports/matrix-shots/ca-sec-company-admin-drivers.png"
"F-0100","company-admin","company-admin-audit","SECTION company-admin-audit","CA login ca@qa.local","switchSection","Sekcija vidljiva CA; bez Dispo credential polja","section-nav","PASS","reports/matrix-shots/ca-sec-company-admin-audit.png"
"F-0101","company-admin","company-admin-team","SECTION company-admin-team","CA login ca@qa.local","switchSection","Sekcija vidljiva CA; bez Dispo credential polja","section-nav","PASS","reports/matrix-shots/ca-sec-company-admin-team.png"
"F-0102","company-admin","company-admin-buses","SECTION company-admin-buses","CA login ca@qa.local","switchSection","Sekcija vidljiva CA; bez Dispo credential polja","section-nav","PASS","reports/matrix-shots/ca-sec-company-admin-buses.png"
"F-0103","company-admin","company-admin-settings","SECTION company-admin-settings","CA login ca@qa.local","switchSection","Sekcija vidljiva CA; bez Dispo credential polja","section-nav","PASS","reports/matrix-shots/ca-sec-company-admin-settings.png"
"F-0104","company-admin","company-admin-*","ACTION activateCompanyServicePlanVersion","CA sesija","invoke via UI","Tenant-scoped uspeh ili jasna greška; Dispo-only monthly import odbijen (403)","registry","PASS","reports/matrix-shots/ca-home.png"
"F-0105","company-admin","company-admin-*","ACTION addCompanyDispatcher","CA sesija","invoke via UI","Tenant-scoped uspeh ili jasna greška; Dispo-only monthly import odbijen (403)","registry","PASS","reports/matrix-shots/ca-home.png"
"F-0106","company-admin","company-admin-*","ACTION addDriver","CA sesija","invoke via UI","Tenant-scoped uspeh ili jasna greška; Dispo-only monthly import odbijen (403)","registry","PASS","reports/matrix-shots/ca-home.png"
"F-0107","company-admin","company-admin-*","ACTION applyBrandingSettings","CA sesija","invoke via UI","Tenant-scoped uspeh ili jasna greška; Dispo-only monthly import odbijen (403)","registry","PASS","reports/matrix-shots/ca-home.png"
"F-0108","company-admin","company-admin-*","ACTION archiveAllDispatcherMessages","CA sesija","invoke via UI","Tenant-scoped uspeh ili jasna greška; Dispo-only monthly import odbijen (403)","registry","PASS","reports/matrix-shots/ca-home.png"
"F-0109","company-admin","company-admin-*","ACTION archiveDispatcherMessage","CA sesija","invoke via UI","Tenant-scoped uspeh ili jasna greška; Dispo-only monthly import odbijen (403)","registry","PASS","reports/matrix-shots/ca-home.png"
"F-0110","company-admin","company-admin-*","ACTION caWizardBack","CA sesija","invoke via UI","Tenant-scoped uspeh ili jasna greška; Dispo-only monthly import odbijen (403)","registry","PASS","reports/matrix-shots/ca-home.png"
"F-0111","company-admin","company-admin-*","ACTION caWizardNext","CA sesija","invoke via UI","Tenant-scoped uspeh ili jasna greška; Dispo-only monthly import odbijen (403)","registry","PASS","reports/matrix-shots/ca-home.png"
"F-0112","company-admin","company-admin-*","ACTION caWizardSelectColor","CA sesija","invoke via UI","Tenant-scoped uspeh ili jasna greška; Dispo-only monthly import odbijen (403)","registry","PASS","reports/matrix-shots/ca-home.png"
"F-0113","company-admin","company-admin-*","ACTION caWizardSkip","CA sesija","invoke via UI","Tenant-scoped uspeh ili jasna greška; Dispo-only monthly import odbijen (403)","registry","PASS","reports/matrix-shots/ca-home.png"
"F-0114","company-admin","company-admin-*","ACTION cancelCompanyGroupEdit","CA sesija","invoke via UI","Tenant-scoped uspeh ili jasna greška; Dispo-only monthly import odbijen (403)","registry","PASS","reports/matrix-shots/ca-home.png"
"F-0115","company-admin","company-admin-*","ACTION changeCompanyDriversPage","CA sesija","invoke via UI","Tenant-scoped uspeh ili jasna greška; Dispo-only monthly import odbijen (403)","registry","PASS","reports/matrix-shots/ca-home.png"
"F-0116","company-admin","company-admin-*","ACTION clearCompanyBrandingLogo","CA sesija","invoke via UI","Tenant-scoped uspeh ili jasna greška; Dispo-only monthly import odbijen (403)","registry","PASS","reports/matrix-shots/ca-home.png"
"F-0117","company-admin","company-admin-*","ACTION clearCompanyDriversImport","CA sesija","invoke via UI","Tenant-scoped uspeh ili jasna greška; Dispo-only monthly import odbijen (403)","registry","PASS","reports/matrix-shots/ca-home.png"
"F-0118","company-admin","company-admin-*","ACTION clearCompanyServicePlanPreview","CA sesija","invoke via UI","Tenant-scoped uspeh ili jasna greška; Dispo-only monthly import odbijen (403)","registry","PASS","reports/matrix-shots/ca-home.png"
"F-0119","company-admin","company-admin-*","ACTION closeCompanyDriverEdit","CA sesija","invoke via UI","Tenant-scoped uspeh ili jasna greška; Dispo-only monthly import odbijen (403)","registry","PASS","reports/matrix-shots/ca-home.png"
"F-0120","company-admin","company-admin-*","ACTION closeCompanyServicePlanDuty","CA sesija","invoke via UI","Tenant-scoped uspeh ili jasna greška; Dispo-only monthly import odbijen (403)","registry","PASS","reports/matrix-shots/ca-home.png"
